# keyinject v1
# pid=73399 n=500 warmup=5 gap_ms=100.0 keycode=0 char=a
# inject_subsystem=nice.keyharness inject_category=inject inject_name=KeyPost signpost_id=seq
# mach_timebase numer=125 denom=3  (ns = ticks*numer/denom)
# anchor mach_abs_ticks=11902003003443 mach_cont_ticks=41716846796930 wall_epoch_ns=1782972894226436000
seq,warmup,keycode,mach_abs_ticks,mach_abs_ns,mach_cont_ticks,mach_cont_ns,wall_epoch_ns
77,0,0,11902201099719,495925045821625,41717044893206,1738210203883583,1782972902480396000
78,0,0,11902203534715,495925147279791,41717047328201,1738210305341708,1782972902581853000
79,0,0,11902205963578,495925248482416,41717049757064,1738210406544333,1782972902683055000
80,0,0,11902208490620,495925353775833,41717052284106,1738210511837750,1782972902788347000
81,0,0,11902211016946,495925459039416,41717054810432,1738210617101333,1782972902893610000
82,0,0,11902213543542,495925564314250,41717057337028,1738210722376166,1782972902998891000
83,0,0,11902216067544,495925669481000,41717059861030,1738210827542916,1782972903104051000
84,0,0,11902218591359,495925774639958,41717062384845,1738210932701875,1782972903209209000
85,0,0,11902221101811,495925879242125,41717064895298,1738211037304083,1782972903313810000
86,0,0,11902223625353,495925984389708,41717067418839,1738211142451625,1782972903418957000
87,0,0,11902226063275,495926085969791,41717069856761,1738211244031708,1782972903520537000
88,0,0,11902228533947,495926188914458,41717072327433,1738211346976375,1782972903623481000
89,0,0,11902231057931,495926294080458,41717074851417,1738211452142375,1782972903728646000
90,0,0,11902233567151,495926398631291,41717077360637,1738211556693208,1782972903833196000
91,0,0,11902236074121,495926503088375,41717079867607,1738211661150291,1782972903937653000
92,0,0,11902238505309,495926604387875,41717082298795,1738211762449791,1782972904038952000
93,0,0,11902240916683,495926704861791,41717084710169,1738211862923708,1782972904139425000
94,0,0,11902243393161,495926808048375,41717087186648,1738211966110333,1782972904242611000
95,0,0,11902245916710,495926913196250,41717089710197,1738212071258208,1782972904347758000
96,0,0,11902248439993,495927018333041,41717092233479,1738212176394958,1782972904452894000
97,0,0,11902250963678,495927123486583,41717094757164,1738212281548500,1782972904558047000
98,0,0,11902253487820,495927228659166,41717097281307,1738212386721125,1782972904663219000
99,0,0,11902256022851,495927334285458,41717099816337,1738212492347375,1782972904768845000
100,0,0,11902258534643,495927438943458,41717102328129,1738212597005375,1782972904873502000
101,0,0,11902261061081,495927544211708,41717104854567,1738212702273625,1782972904978770000
102,0,0,11902263586047,495927649418625,41717107379534,1738212807480583,1782972905083976000
103,0,0,11902266110002,495927754583416,41717109903488,1738212912645333,1782972905189140000
104,0,0,11902268582131,495927857588791,41717112375617,1738213015650708,1782972905292145000
105,0,0,11902271105801,495927962741708,41717114899288,1738213120803666,1782972905397297000
106,0,0,11902273628725,495928067863541,41717117422211,1738213225925458,1782972905502418000
107,0,0,11902276151683,495928172986791,41717119945169,1738213331048708,1782972905607541000
108,0,0,11902278676138,495928278172416,41717122469624,1738213436234333,1782972905712726000
109,0,0,11902281167469,495928381977875,41717124960956,1738213540039833,1782972905816531000
110,0,0,11902283681560,495928486731666,41717127475046,1738213644793583,1782972905921284000
111,0,0,11902286207495,495928591978958,41717130000982,1738213750040916,1782972906026530000
112,0,0,11902288732323,495928697180125,41717132525809,1738213855242041,1782972906131731000
113,0,0,11902291256128,495928802338666,41717135049614,1738213960400583,1782972906236889000
114,0,0,11902293751570,495928906315416,41717137545056,1738214064377333,1782972906340865000
115,0,0,11902296275742,495929011489250,41717140069228,1738214169551166,1782972906446038000
116,0,0,11902298799542,495929116647583,41717142593028,1738214274709500,1782972906551196000
117,0,0,11902301310393,495929221266375,41717145103879,1738214379328291,1782972906655814000
