# keyinject v1
# pid=79268 n=500 warmup=5 gap_ms=100.0 keycode=0 char=a
# inject_subsystem=nice.keyharness inject_category=inject inject_name=KeyPost signpost_id=seq
# mach_timebase numer=125 denom=3  (ns = ticks*numer/denom)
# anchor mach_abs_ticks=11962715517069 mach_cont_ticks=41777559310555 wall_epoch_ns=1782975423938397000
seq,warmup,keycode,mach_abs_ticks,mach_abs_ns,mach_cont_ticks,mach_cont_ns,wall_epoch_ns
77,0,0,11962913461528,498454727563666,41777757255014,1740739885625583,1782975432186103000
78,0,0,11962915987322,498454832805083,41777759780808,1740739990867000,1782975432291344000
79,0,0,11962918513329,498454938055375,41777762306815,1740740096117291,1782975432396595000
80,0,0,11962921040259,498455043344125,41777764833745,1740740201406041,1782975432501884000
81,0,0,11962923533391,498455147224625,41777767326877,1740740305286541,1782975432605764000
82,0,0,11962926059687,498455252486958,41777769853173,1740740410548875,1782975432711028000
83,0,0,11962928586086,498455357753583,41777772379572,1740740515815500,1782975432816294000
84,0,0,11962931041806,498455460075250,41777774835292,1740740618137166,1782975432918616000
85,0,0,11962933567927,498455565330291,41777777361413,1740740723392208,1782975433023871000
86,0,0,11962936093648,498455670568666,41777779887134,1740740828630583,1782975433129110000
87,0,0,11962938618865,498455775786041,41777782412351,1740740933847958,1782975433234328000
88,0,0,11962941038348,498455876597833,41777784831834,1740741034659750,1782975433335140000
89,0,0,11962943564525,498455981855208,41777787358012,1740741139917166,1782975433440397000
90,0,0,11962946077312,498456086554666,41777789870799,1740741244616625,1782975433545097000
91,0,0,11962948604792,498456191866333,41777792398278,1740741349928250,1782975433650409000
92,0,0,11962951087134,498456295297250,41777794880621,1740741453359208,1782975433753840000
93,0,0,11962953612555,498456400523125,41777797406041,1740741558585041,1782975433859066000
94,0,0,11962956138620,498456505775833,41777799932107,1740741663837791,1782975433964319000
95,0,0,11962958627888,498456609495333,41777802421375,1740741767557291,1782975434068039000
96,0,0,11962961126671,498456713611291,41777804920158,1740741871673250,1782975434172155000
97,0,0,11962963636613,498456818192208,41777807430100,1740741976254166,1782975434276736000
98,0,0,11962966161182,498456923382583,41777809954668,1740742081444500,1782975434381927000
99,0,0,11962968704166,498457029340250,41777812497652,1740742187402166,1782975434487885000
100,0,0,11962971180560,498457132523333,41777814974046,1740742290585250,1782975434591068000
101,0,0,11962973707352,498457237806333,41777817500839,1740742395868291,1782975434696352000
102,0,0,11962976233414,498457343058916,41777820026901,1740742501120875,1782975434801604000
103,0,0,11962978726704,498457446946000,41777822520191,1740742605007958,1782975434905492000
104,0,0,11962981140412,498457547517166,41777824933898,1740742705579083,1782975435006063000
105,0,0,11962983665508,498457652729500,41777827458994,1740742810791416,1782975435111276000
106,0,0,11962986189362,498457757890083,41777829982849,1740742915952041,1782975435216437000
107,0,0,11962988713415,498457863058958,41777832506902,1740743021120916,1782975435321606000
108,0,0,11962991226761,498457967781708,41777835020247,1740743125843625,1782975435426329000
109,0,0,11962993752660,498458073027500,41777837546147,1740743231089458,1782975435531574000
110,0,0,11962996278627,498458178276125,41777840072115,1740743336338125,1782975435636823000
111,0,0,11962998726669,498458280277875,41777842520156,1740743438339833,1782975435738826000
112,0,0,11963001162354,498458381764750,41777844955841,1740743539826708,1782975435840313000
113,0,0,11963003687466,498458486977750,41777847480952,1740743645039666,1782975435945526000
114,0,0,11963006211910,498458592162916,41777850005396,1740743750224833,1782975436050711000
115,0,0,11963008738017,498458697417375,41777852531503,1740743855479291,1782975436155966000
116,0,0,11963011261737,498458802572375,41777855055224,1740743960634333,1782975436261121000
117,0,0,11963013787801,498458907825041,41777857581288,1740744065887000,1782975436366374000
118,0,0,11963016251929,498459010497041,41777860045415,1740744168558958,1782975436469047000
119,0,0,11963018685767,498459111906958,41777862479253,1740744269968875,1782975436570456000
120,0,0,11963021198644,498459216610166,41777864992131,1740744374672125,1782975436675160000
121,0,0,11963023725526,498459321896916,41777867519013,1740744479958875,1782975436780447000
122,0,0,11963026220245,498459425843541,41777870013731,1740744583905458,1782975436884394000
123,0,0,11963028743673,498459530986375,41777872537159,1740744689048291,1782975436989537000
124,0,0,11963031226546,498459634439416,41777875020033,1740744792501375,1782975437092990000
125,0,0,11963033645204,498459735216833,41777877438690,1740744893278750,1782975437193768000
126,0,0,11963036171493,498459840478875,41777879964979,1740744998540791,1782975437299030000
127,0,0,11963038697346,498459945722750,41777882490832,1740745103784666,1782975437404274000
128,0,0,11963041223446,498460050976916,41777885016932,1740745209038833,1782975437509529000
129,0,0,11963043640131,498460151672125,41777887433617,1740745309734041,1782975437610224000
130,0,0,11963046156541,498460256522541,41777889950028,1740745414584500,1782975437715075000
131,0,0,11963048577666,498460357402750,41777892371152,1740745515464666,1782975437815955000
132,0,0,11963051103585,498460462649375,41777894897071,1740745620711291,1782975437921202000
133,0,0,11963053630179,498460567924125,41777897423666,1740745725986083,1782975438026477000
134,0,0,11963056155170,498460673132083,41777899948657,1740745831194041,1782975438131685000
135,0,0,11963058608565,498460775356875,41777902402052,1740745933418833,1782975438233911000
136,0,0,11963061126634,498460880276416,41777904920121,1740746038338375,1782975438338830000
137,0,0,11963063598991,498460983291291,41777907392477,1740746141353208,1782975438441846000
138,0,0,11963066116309,498461088179541,41777909909796,1740746246241500,1782975438546734000
139,0,0,11963068640931,498461193372125,41777912434417,1740746351434041,1782975438651927000
140,0,0,11963071087868,498461295327833,41777914881354,1740746453389750,1782975438753883000
141,0,0,11963073611609,498461400483708,41777917405096,1740746558545666,1782975438859039000
142,0,0,11963076116466,498461504852750,41777919909952,1740746662914666,1782975438963408000
143,0,0,11963078588133,498461607838875,41777922381619,1740746765900791,1782975439066394000
144,0,0,11963081040513,498461710021375,41777924833999,1740746868083291,1782975439168577000
145,0,0,11963083564536,498461815189000,41777927358022,1740746973250916,1782975439273745000
146,0,0,11963086090869,498461920452875,41777929884355,1740747078514791,1782975439379010000
147,0,0,11963088616204,498462025675166,41777932409690,1740747183737083,1782975439484232000
148,0,0,11963091153858,498462131410750,41777934947345,1740747289472708,1782975439589968000
149,0,0,11963093677267,498462236552791,41777937470754,1740747394614750,1782975439695110000
150,0,0,11963096184575,498462341023958,41777939978061,1740747499085875,1782975439799581000
151,0,0,11963098684730,498462445197083,41777942478216,1740747603259000,1782975439903755000
152,0,0,11963101210845,498462550451875,41777945004332,1740747708513833,1782975440009010000
153,0,0,11963103716638,498462654859916,41777947510125,1740747812921875,1782975440113418000
154,0,0,11963106236579,498462759857458,41777950030066,1740747917919416,1782975440218416000
155,0,0,11963108761539,498462865064125,41777952555026,1740748023126083,1782975440323623000
156,0,0,11963111180029,498462965834541,41777954973516,1740748123896500,1782975440424394000
157,0,0,11963113705927,498463071080291,41777957499414,1740748229142250,1782975440529640000
158,0,0,11963116232327,498463176346958,41777960025813,1740748334408875,1782975440634906000
159,0,0,11963118753181,498463281382541,41777962546668,1740748439444500,1782975440739942000
160,0,0,11963121200906,498463383371083,41777964994392,1740748541433000,1782975440841931000
161,0,0,11963123725124,498463488546833,41777967518611,1740748646608791,1782975440947107000
162,0,0,11963126250267,498463593761125,41777970043754,1740748751823083,1782975441052322000
163,0,0,11963128764497,498463698520708,41777972557983,1740748856582625,1782975441157081000
164,0,0,11963131288502,498463803687583,41777975081989,1740748961749541,1782975441262249000
165,0,0,11963133814774,498463908948916,41777977608260,1740749067010833,1782975441367510000
166,0,0,11963136339962,498464014165083,41777980133449,1740749172227041,1782975441472727000
167,0,0,11963138765957,498464115248208,41777982559444,1740749273310166,1782975441573810000
168,0,0,11963141292052,498464220502166,41777985085539,1740749378564125,1782975441679064000
169,0,0,11963143817110,498464325712916,41777987610597,1740749483774875,1782975441784275000
170,0,0,11963146342629,498464430942875,41777990136115,1740749589004791,1782975441889505000
171,0,0,11963148840906,498464535037750,41777992634394,1740749693099750,1782975441993601000
172,0,0,11963151366345,498464640264375,41777995159831,1740749798326291,1782975442098827000
173,0,0,11963153891762,498464745490083,41777997685249,1740749903552041,1782975442204053000
174,0,0,11963156417010,498464850708750,41778000210497,1740750008770708,1782975442309272000
175,0,0,11963158943570,498464955982083,41778002737057,1740750114044041,1782975442414546000
176,0,0,11963161467772,498465061157166,41778005261258,1740750219219083,1782975442519721000
177,0,0,11963163966590,498465165274583,41778007760077,1740750323336541,1782975442623839000
178,0,0,11963166492604,498465270525166,41778010286091,1740750428587125,1782975442729090000
179,0,0,11963169018650,498465375777083,41778012812136,1740750533839000,1782975442834342000
180,0,0,11963171541711,498465480904625,41778015335197,1740750638966541,1782975442939470000
181,0,0,11963174067189,498465586132875,41778017860675,1740750744194791,1782975443044698000
182,0,0,11963176594031,498465691417958,41778020387518,1740750849479916,1782975443149984000
183,0,0,11963179116912,498465796538000,41778022910399,1740750954599958,1782975443255104000
184,0,0,11963181643825,498465901826041,41778025437312,1740751059888000,1782975443360392000
185,0,0,11963184169719,498466007071625,41778027963205,1740751165133541,1782975443465638000
186,0,0,11963186695461,498466112310875,41778030488947,1740751270372791,1782975443570877000
187,0,0,11963189198084,498466216586833,41778032991570,1740751374648750,1782975443675154000
188,0,0,11963191721131,498466321713791,41778035514618,1740751479775750,1782975443780281000
189,0,0,11963194245673,498466426903041,41778038039159,1740751584964958,1782975443885471000
190,0,0,11963196687836,498466528659833,41778040481322,1740751686721750,1782975443987228000
191,0,0,11963199206646,498466633610250,41778043000132,1740751791672166,1782975444092178000
192,0,0,11963201716311,498466738179625,41778045509798,1740751896241583,1782975444196748000
